title,avail_global,date_release,hours_viewed,language,year,months_out,views_per_month,series
The Night Agent: Season 1,Yes,2023-03-23,812.1,English,2023.0,3.0,270.7,The Night Agent
Ginny & Georgia: Season 2,Yes,2023-01-05,665.1,English,2023.0,6.0,110.85000000000001,Ginny & Georgia
The Glory: Season 1,Yes,2022-12-30,622.8,Korean,2022.0,6.0,103.8,The Glory
Wednesday: Season 1,Yes,2022-11-23,507.7,English,2022.0,7.0,72.52857142857142,Wednesday
Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,503.0,English,2023.0,2.0,251.5,Queen Charlotte: A Bridgerton Story
You: Season 4,Yes,2023-02-09,440.6,English,2023.0,5.0,88.12,You
La Reina del Sur: Season 3,No,2022-12-30,429.6,English,2022.0,6.0,71.60000000000001,La Reina del Sur
Outer Banks: Season 3,Yes,2023-02-23,402.5,English,2023.0,4.0,100.625,Outer Banks
Ginny & Georgia: Season 1,Yes,2021-02-24,302.1,English,2021.0,29.0,10.417241379310346,Ginny & Georgia
FUBAR: Season 1,Yes,2023-05-25,266.2,English,2023.0,1.0,266.2,FUBAR
Manifest: Season 4,Yes,2022-11-04,262.6,English,2022.0,8.0,32.825,Manifest
Kaleidoscope: Limited Series,Yes,2023-01-01,252.5,English,2023.0,6.0,42.083333333333336,Kaleidoscope: Limited Series
Firefly Lane: Season 2,Yes,2022-12-02,251.5,English,2022.0,7.0,35.92857142857143,Firefly Lane
The Mother,Yes,2023-05-12,249.9,English,2023.0,2.0,124.95,The Mother
Physical: 100: Season 1,Yes,2023-01-24,235.0,Korean,2023.0,5.0,47.0,Physical: 100
Crash Course in Romance: Limited Series,Yes,2023-01-14,234.8,Korean,2023.0,6.0,39.13333333333333,Crash Course in Romance: Limited Series
Love Is Blind: Season 4,Yes,2023-03-24,229.7,English,2023.0,3.0,76.56666666666666,Love Is Blind
BEEF: Season 1,Yes,2023-04-06,221.1,English,2023.0,3.0,73.7,BEEF
The Diplomat: Season 1,Yes,2023-04-20,214.1,English,2023.0,2.0,107.05,The Diplomat
Luther: The Fallen Sun,Yes,2023-03-10,209.7,English,2023.0,4.0,52.425,Luther: The Fallen Sun
Fake Profile: Season 1,No,2023-05-31,206.5,Spanish,2023.0,1.0,206.5,Fake Profile
Vikings: Valhalla: Season 2,Yes,2023-01-12,205.5,English,2023.0,6.0,34.25,Vikings: Valhalla
Extraction 2,Yes,2023-06-16,201.8,English,2023.0,0.0,inf,Extraction 2
"XO, Kitty: Season 1",Yes,2023-05-18,200.7,English,2023.0,1.0,200.7,"XO, Kitty"
Doctor Cha: Limited Series,Yes,2023-04-15,194.7,Korean,2023.0,3.0,64.89999999999999,Doctor Cha: Limited Series
Shadow and Bone: Season 2,Yes,2023-03-16,192.9,English,2023.0,4.0,48.225,Shadow and Bone
Outer Banks: Season 1,Yes,2020-04-15,184.0,English,2020.0,39.0,4.717948717948718,Outer Banks
Sweet Tooth: Season 2,Yes,2023-04-27,182.3,English,2023.0,2.0,91.15,Sweet Tooth
You People,Yes,2023-01-27,181.8,English,2023.0,5.0,36.36,You People
Perfect Match: Season 1,Yes,2023-02-14,176.8,English,2023.0,5.0,35.36,Perfect Match
Sex/Life: Season 2,Yes,2023-03-02,175.5,English,2023.0,4.0,43.875,Sex/Life
The Marked Heart: Season 2,Yes,2023-04-19,174.3,Spanish,2023.0,2.0,87.15,The Marked Heart
Murder Mystery 2,Yes,2023-03-31,173.6,English,2023.0,3.0,57.86666666666667,Murder Mystery 2
The Surrogacy: Season 1,No,2023-06-14,172.4,Spanish,2023.0,1.0,172.4,The Surrogacy
"Pablo Escobar, el patrón del mal: Season 1",Yes,,170.1,English,,,,"Pablo Escobar, el patrón del mal"
Never Have I Ever: Season 4,Yes,2023-06-08,168.3,English,2023.0,1.0,168.3,Never Have I Ever
Your Place or Mine,Yes,2023-02-10,163.0,English,2023.0,5.0,32.6,Your Place or Mine
Chiquititas (2013),No,,162.0,English,,,,Chiquititas (2013)
Emily in Paris: Season 3,Yes,2022-12-21,161.1,English,2022.0,6.0,26.849999999999998,Emily in Paris
Alice in Borderland: Season 2,Yes,2022-12-22,157.6,Spanish,2022.0,6.0,26.266666666666666,Alice in Borderland
Alchemy of Souls: Part 1,Yes,2022-06-18,155.3,Korean,2022.0,13.0,11.946153846153846,Alchemy of Souls
Outer Banks: Season 2,Yes,2021-07-30,153.9,English,2021.0,23.0,6.691304347826088,Outer Banks
New Amsterdam (2018): Season 1,No,,153.0,English,,,,New Amsterdam (2018)
Til Money Do Us Part: Season 1,No,2022-10-19,152.1,Spanish,2022.0,8.0,19.0125,Til Money Do Us Part
Mr. Queen,No,,151.5,Korean,,,,Mr. Queen
Manifest: Season 1,No,2021-06-10,151.4,English,2021.0,25.0,6.056,Manifest
Alchemy of Souls: Part 2,Yes,2022-12-10,150.2,Korean,2022.0,7.0,21.457142857142856,Alchemy of Souls
PAW Patrol: Season 6,No,,149.3,English,,,,PAW Patrol
The Good Bad Mother: Limited Series,Yes,2023-04-26,148.6,Korean,2023.0,2.0,74.3,The Good Bad Mother: Limited Series
The Recruit: Season 1,Yes,2022-12-16,146.9,English,2022.0,7.0,20.985714285714288,The Recruit
Bloodhounds: Season 1,Yes,2023-06-09,146.7,Korean,2023.0,1.0,146.7,Bloodhounds
Glass Onion: A Knives Out Mystery,Yes,2022-12-23,142.9,English,2022.0,6.0,23.816666666666666,Glass Onion: A Knives Out Mystery
Wrong Side of the Tracks: Season 2,No,2023-03-01,140.1,Spanish,2023.0,4.0,35.025,Wrong Side of the Tracks
Black Mirror: Season 6,Yes,2023-06-15,139.9,English,2023.0,0.0,inf,Black Mirror
Triptych: Season 1,Yes,2023-02-22,139.3,Spanish,2023.0,4.0,34.825,Triptych
The Walking Dead: Season 11,No,,136.8,English,,,,The Walking Dead
Bridgerton: Season 1,Yes,2020-12-25,136.6,English,2020.0,31.0,4.406451612903226,Bridgerton
CoComelon: Season 1,No,2020-05-31,136.2,English,2020.0,38.0,3.5842105263157893,CoComelon
Extraordinary Attorney Woo: Season 1,Yes,2022-06-29,135.9,Korean,2022.0,12.0,11.325000000000001,Extraordinary Attorney Woo
The Snow Girl: Season 1,Yes,2023-01-27,134.8,Spanish,2023.0,5.0,26.96,The Snow Girl
Stranger Things 4,Yes,2022-05-27,133.6,English,2022.0,13.0,10.276923076923076,Stranger Things 4
The Marked Heart: Season 1,Yes,2022-04-20,133.5,Spanish,2022.0,15.0,8.9,The Marked Heart
Bridgerton: Season 2,Yes,2022-03-25,133.4,English,2022.0,15.0,8.893333333333334,Bridgerton
Little Angel: Volume 1,Yes,,132.1,English,,,,Little Angel: Volume 1
PAW Patrol: Season 5,No,,130.7,English,,,,PAW Patrol
Pasión de Gavilanes: Season 1,No,,129.2,English,,,,Pasión de Gavilanes
Suits (2011): Season 1,Yes,,129.1,English,,,,Suits (2011)
Sex/Life: Season 1,Yes,2021-06-25,126.4,English,2021.0,24.0,5.266666666666667,Sex/Life
We Have a Ghost,Yes,2023-02-24,124.4,English,2023.0,4.0,31.1,We Have a Ghost
You: Season 1,Yes,2018-12-26,123.5,English,2018.0,55.0,2.2454545454545456,You
Business Proposal: Season 1,Yes,2022-02-28,120.7,Korean,2022.0,16.0,7.54375,Business Proposal
The Pale Blue Eye,Yes,2023-01-06,120.5,English,2023.0,6.0,20.083333333333332,The Pale Blue Eye
Crash Landing on You: Season 1,Yes,2019-12-14,120.3,Spanish,2019.0,43.0,2.797674418604651,Crash Landing on You
AKA,Yes,2023-04-28,120.0,English,2023.0,2.0,60.0,AKA
MH370: The Plane That Disappeared: Limited Series,Yes,2023-03-08,118.9,English,2023.0,4.0,29.725,MH370: The Plane That Disappeared: Limited Series
Queenmaker: Season 1,Yes,2023-04-14,118.6,Korean,2023.0,3.0,39.53333333333333,Queenmaker
Vikings: Valhalla: Season 1,Yes,2022-02-25,116.5,English,2022.0,16.0,7.28125,Vikings: Valhalla
Breaking Bad: Season 2,No,,116.2,English,,,,Breaking Bad
Muted: Limited Series,Yes,2023-05-19,115.8,Spanish,2023.0,1.0,115.8,Muted: Limited Series
Lockwood & Co.: Season 1,Yes,2023-01-27,113.6,English,2023.0,5.0,22.72,Lockwood & Co.
You: Season 3,Yes,2021-10-15,107.2,English,2021.0,21.0,5.104761904761905,You
Breaking Bad: Season 5,No,,107.0,English,,,,Breaking Bad
Suits (2011): Season 2,Yes,,106.6,English,,,,Suits (2011)
Murdaugh Murders: A Southern Scandal: Season 1,Yes,2023-02-22,104.6,English,2023.0,4.0,26.15,Murdaugh Murders: A Southern Scandal
Welcome to Eden: Season 2,Yes,2023-04-21,104.5,Spanish,2023.0,2.0,52.25,Welcome to Eden
Breaking Bad: Season 3,No,,104.3,English,,,,Breaking Bad
Lucifer: Season 3,No,2017-10-03,102.8,English,2017.0,70.0,1.4685714285714286,Lucifer
CoComelon: Season 2,No,2020-12-17,102.3,English,2020.0,31.0,3.3,CoComelon
Café con aroma de mujer: Season 1,No,2021-12-29,101.7,English,2021.0,18.0,5.65,Café con aroma de mujer
Love to Hate You: Season 1,Yes,2023-02-10,99.9,Korean,2023.0,5.0,19.98,Love to Hate You
The Blacklist: Season 1,No,,99.9,English,,,,The Blacklist
Shadow and Bone: Season 1,Yes,2021-04-23,99.5,English,2021.0,27.0,3.685185185185185,Shadow and Bone
The Unbroken Voice: Season 1,No,2022-11-23,99.0,Spanish,2022.0,7.0,14.142857142857142,The Unbroken Voice
Designated Survivor: Season 1,Yes,2016-09-22,98.5,English,2016.0,82.0,1.201219512195122,Designated Survivor
The Interest of Love: Limited Series,Yes,2022-12-21,97.8,Korean,2022.0,6.0,16.3,The Interest of Love: Limited Series
Wrong Side of the Tracks: Season 1,No,2022-05-20,97.6,Spanish,2022.0,14.0,6.971428571428571,Wrong Side of the Tracks
Minions: The Rise of Gru,No,,96.4,English,,,,Minions: The Rise of Gru
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",No,,95.8,Spanish,,,,"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc"
The Blacklist: Season 9,No,,95.7,English,,,,The Blacklist
That '90s Show: Part 1,Yes,2023-01-19,95.1,English,2023.0,5.0,19.02,That '90s Show
You: Season 2,Yes,2019-12-26,95.0,English,2019.0,43.0,2.2093023255813953,You
La Reina del Sur: Season 1,No,2011-09-05,94.7,English,2011.0,144.0,0.6576388888888889,La Reina del Sur
All of Us Are Dead: Season 1,Yes,2022-01-28,94.6,Korean,2022.0,17.0,5.564705882352941,All of Us Are Dead
New Amsterdam (2018): Season 2,No,,94.4,English,,,,New Amsterdam (2018)
Breaking Bad: Season 4,No,,94.3,English,,,,Breaking Bad
Black Knight: Season 1,Yes,2023-05-12,94.3,Spanish,2023.0,2.0,47.15,Black Knight
Obsession: Limited Series,Yes,2023-04-13,94.2,English,2023.0,3.0,31.400000000000002,Obsession: Limited Series
Who Were We Running From?: Limited Series,Yes,2023-03-24,92.9,Turkish,2023.0,3.0,30.96666666666667,Who Were We Running From?: Limited Series
La Reina del Sur: Season 2,No,2019-08-16,92.5,English,2019.0,47.0,1.9680851063829787,La Reina del Sur
Hunger,Yes,2023-04-08,92.3,Thai,2023.0,3.0,30.766666666666666,Hunger
Alice in Borderland: Season 1,Yes,2020-12-10,92.2,Spanish,2020.0,31.0,2.9741935483870967,Alice in Borderland
CoComelon: Season 3,No,2021-05-31,91.4,English,2021.0,25.0,3.656,CoComelon
Firefly Lane: Season 1,Yes,2021-02-03,91.2,English,2021.0,29.0,3.1448275862068966,Firefly Lane
Women at War: Limited Series,Yes,2022-10-27,90.8,French,2022.0,8.0,11.35,Women at War: Limited Series
Formula 1: Drive to Survive: Season 5,Yes,2023-02-24,90.2,English,2023.0,4.0,22.55,Formula 1: Drive to Survive
Sweet Tooth: Season 1,Yes,2021-06-04,89.0,English,2021.0,25.0,3.56,Sweet Tooth
S.W.A.T. (2017): Season 1,No,,88.6,English,,,,S.W.A.T. (2017)
Murder Mystery,Yes,2019-06-14,87.9,English,2019.0,49.0,1.7938775510204084,Murder Mystery
True Beauty,No,,87.3,Korean,,,,True Beauty
Squid Game: Season 1,Yes,2021-09-17,87.2,Korean,2021.0,22.0,3.963636363636364,Squid Game
Little Angel: Volume 2,Yes,,86.2,English,,,,Little Angel: Volume 2
Manifest: Season 2,No,2021-06-10,86.2,English,2021.0,25.0,3.448,Manifest
Lucifer: Season 2,No,2017-08-31,86.1,English,2017.0,71.0,1.212676056338028,Lucifer
Extraction,Yes,2020-04-24,86.1,English,2020.0,39.0,2.2076923076923074,Extraction
Lady Voyeur: Limited Series,Yes,2022-12-31,86.0,Spanish,2022.0,6.0,14.333333333333334,Lady Voyeur: Limited Series
Woman of the Dead: Season 1,Yes,2022-11-15,85.4,German,2022.0,8.0,10.675,Woman of the Dead
The Law According to Lidia Poët: Season 1,Yes,2023-02-15,85.0,Spanish,2023.0,4.0,21.25,The Law According to Lidia Poët
Florida Man: Limited Series,Yes,2023-04-13,84.6,English,2023.0,3.0,28.2,Florida Man: Limited Series
Lucifer: Season 1,No,2017-07-23,84.4,English,2017.0,72.0,1.1722222222222223,Lucifer
Shahmaran: Season 1,Yes,2023-01-20,83.6,Turkish,2023.0,5.0,16.72,Shahmaran
Breaking Bad: Season 1,No,,83.2,English,,,,Breaking Bad
The Last Kingdom: Seven Kings Must Die,Yes,2023-04-14,83.2,English,2023.0,3.0,27.733333333333334,The Last Kingdom: Seven Kings Must Die
Selling Sunset: Season 6,Yes,2023-05-19,82.8,English,2023.0,1.0,82.8,Selling Sunset
CoComelon: Season 4,No,2021-10-14,82.5,English,2021.0,21.0,3.9285714285714284,CoComelon
Suits (2011): Season 3,Yes,,82.5,English,,,,Suits (2011)
Sam & Cat: Season 1,No,,82.4,English,,,,Sam & Cat
Gilmore Girls: Season 1,Yes,,82.1,English,,,,Gilmore Girls
Sonic Prime: Season 1,Yes,2022-12-15,82.1,English,2022.0,7.0,11.728571428571428,Sonic Prime
Peppa Pig: Season 1,No,,81.8,English,,,,Peppa Pig
Manifest: Season 3,No,2021-08-21,81.7,English,2021.0,23.0,3.5521739130434784,Manifest
Roald Dahl's Matilda The Musical,Yes,2022-12-25,81.0,English,2022.0,6.0,13.5,Roald Dahl's Matilda The Musical
Better Call Saul: Season 6,No,2022-04-19,80.8,English,2022.0,15.0,5.386666666666667,Better Call Saul
Sing (2016),No,,80.5,English,,,,Sing (2016)
Hajime no Ippo: The Fighting!: Season 1,No,,80.3,Japanese,,,,Hajime no Ippo: The Fighting!
All Quiet on the Western Front,Yes,2022-10-28,80.0,German,2022.0,8.0,10.0,All Quiet on the Western Front
Sky High: The Series: Season 1,Yes,2023-03-17,79.7,Spanish,2023.0,4.0,19.925,Sky High: The Series
Alpha Males: Season 1,No,2022-12-30,78.2,English,2022.0,6.0,13.033333333333333,Alpha Males
Record of Ragnarok: Season 2,No,2023-01-26,78.2,Japanese,2023.0,5.0,15.64,Record of Ragnarok
Stranger Things,Yes,2016-07-15,77.8,English,2016.0,85.0,0.9152941176470588,Stranger Things
Chupa,Yes,2023-04-07,77.8,English,2023.0,3.0,25.933333333333334,Chupa
Paw Patrol: The Movie,No,,77.2,English,,,,Paw Patrol: The Movie
Sing 2,No,,76.6,English,,,,Sing 2
The Crown: Season 5,Yes,2022-11-09,76.3,English,2022.0,8.0,9.5375,The Crown
Next in Fashion: Season 2,Yes,2023-03-03,75.7,English,2023.0,4.0,18.925,Next in Fashion
Gilmore Girls: Season 2,Yes,,75.2,English,,,,Gilmore Girls
Lucifer: Season 5,No,2020-08-21,75.2,English,2020.0,35.0,2.1485714285714286,Lucifer
The Boss Baby,No,,75.1,English,,,,The Boss Baby
Treason: Limited Series,Yes,2022-12-26,74.3,English,2022.0,6.0,12.383333333333333,Treason: Limited Series
Trolls,No,,73.4,English,,,,Trolls
Blood Ties: Season 1,No,,73.3,Spanish,,,,Blood Ties
Money Heist: Part 1,Yes,2017-07-01,73.1,Spanish,2017.0,73.0,1.0013698630136985,Money Heist
Rough Diamonds: Season 1,Yes,2023-04-21,72.8,English,2023.0,2.0,36.4,Rough Diamonds
Vincenzo: Season 1,Yes,2021-02-20,72.8,Korean,2021.0,29.0,2.5103448275862066,Vincenzo
The Walking Dead: Season 10,No,,72.2,English,,,,The Walking Dead
The Witcher: Season 1,Yes,2019-12-20,72.2,English,2019.0,43.0,1.6790697674418604,The Witcher
Gabby's Dollhouse: Season 1,Yes,2021-01-05,71.6,English,2021.0,30.0,2.3866666666666663,Gabby's Dollhouse
The Walking Dead: Season 3,No,,71.6,English,,,,The Walking Dead
Carrossel,No,,71.3,English,,,,Carrossel
Gilmore Girls: Season 3,Yes,,71.3,English,,,,Gilmore Girls
